,Unnamed: 0,page,product_link,img_link,product_name,star,review_count,ingredient,brand_name,type
15,17,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016070&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001607006ko.jpg?l=ko,바티스트 드라이샴푸 플로랄 200ml,4.7,1678,"■ 부탄,아이소부탄,프로판,쌀전분,변성알코올,향료,다이스테아릴다이모늄클로라이드,세트리모늄클로라이드,알파-아이소메틸아이오논,시트로넬올,제라니올,헥실신남알,리모넨,리날룰",바티스트,
16,18,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111697&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=19,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0011/A00000011169717ko.jpg?l=ko,코랩 드라이샴푸 트로피칼 200ml(파파야&파인애플향),4.6,741,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료",코랩,
17,19,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111831&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=20,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0011/A00000011183116ko.jpg?l=ko,[비건]코랩 드라이샴푸 파라다이스 200ml(시트러스&코코넛향),4.6,642,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료, 부틸페닐메틸프로피오날, 벤질알코올, 벤질살리실레이트, 리모넨, 리날룰",코랩,
18,20,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146237&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=21,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014623702ko.jpg?l=ko,동구밭 올바른 샴푸바 쿨링용 100g,4.7,209,"소듐코코일이세티오네이트, 코코-베타인, 올리브오일, 호호바씨오일, 병풀추출물, 다시마추출물, 멘톨, 스피어민트잎오일, 인디고잎가루, 토코페롤",동구밭,
19,21,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146243&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=22,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014624302ko.jpg?l=ko,동구밭 올바른 샴푸바 지성용 100g,4.8,545,"소듐코코일이세티오네이트, 코코-베타인, 코코넛야자오일, 올리브오일, 아르간커넬오일, 당호박가루, 마트리카리아오일, 라벤더오일, 다시마추출물",동구밭,
20,22,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161053&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=23,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016105306ko.jpg?l=ko,코랩 드라이샴푸 유니콘(200ml+50ml/올리브영 단독),4.5,2699,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료, 시트로넬올, 리모넨, 제라니올, 헥실신남알, 하이드록시시트로넬알,",코랩,
21,23,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161054&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016105410ko.jpg?l=ko,[올리브영 단독] 코랩 드라이샴푸 200ml+50ml 3종 택1,4.6,6140,,코랩,
22,24,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163051&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016305111ko.jpg?l=ko,포맨트 비어틴 탈모케어 퍼퓸 샴푸 500ml (코튼허그),4.7,78,"정제수, 맥주효모추출물, 코카미도프로필베타인, 다이소듐라우레스설포석시네이트, 소듐라우로일메틸아미노프로피오네이트, 티이에이-코코일글루타메이트, 코카마이드엠이에이, 코카마이드메틸엠이에이, 소듐클로라이드, 향료, 소듐벤조에이트, 폴리쿼터늄-10, 변성알코올, 글리세린, 1,2-헥산다이올, 덱스판테놀, 살리실릭애씨드, 나이아신아마이드, 시트릭애씨드, 브로콜리추출물, 사철쑥추출물, 양파추출물, 부틸렌글라이콜, 펜타소듐펜테테이트, 멘틸락테이트, 바이오틴, 에틸헥실글리세린, 메티오닌, 시스테인, 하이드롤라이즈드콜라겐, 하이드롤라이즈드옥수수단백질, 하이드롤라이즈드밀단백질, 하이드롤라이즈드콩단백질, 카퍼트라이펩타이드-1, 제라니올, 부틸페닐메틸프로피오날, 리날룰, 벤질벤조에이트, 시트로넬올, 헥실신남알",포맨트,"지성,비듬,탈모,건성,민감성"
23,25,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163108&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016310802ko.jpg?l=ko,록시땅 인텐시브 리페어 샴푸 500ml,4.9,29,,록시땅,
24,26,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164457&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016445701ko.jpg?l=ko,록시땅 인텐시브 리페어 샴푸 300ml,4.2,5,정제수 소듐라우레스설페이트 데실글루코사이드 코카미도프로필베타인 안젤리카뿌리오일 안젤리카씨오일 검은귀리추출물 해바라기씨오일 라벤더오일 일랑일랑꽃오일 센티드제라늄잎오일 오렌지껍질오일 하이드로제네이티드식물성글리세라이즈시트레이트 글리세린 판테놀 코코-글루코사이드 글리세릴올리에이트 폴리쿼터늄-7 하이드록시프로필구아하이드록시프로필트라이모늄클로라이드 시트릭애씨드 레시틴 토코페롤 아스코빌팔미테이트 소듐벤조에이트 포타슘솔베이트 향료 리모넨 리날룰,록시땅,"탈모,건성,민감성"
